event_id_cnty,event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,fatalities
KEN2779,2010-01-02,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nakuru,Nakuru North,Nakuru,-0.2441,36.142,0
KEN7942,2010-01-15,2010,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Mombasa,Kisauni,Kisauni,-4.0333,39.6833,0
KEN2780,2010-01-05,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2782,2010-01-11,2010,Battles,Armed clash,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2783,2010-01-11,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,1
KEN2784,2010-01-14,2010,Strategic developments,Disrupted weapons use,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2785,2010-01-14,2010,Riots,Violent demonstration,Rioters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,4
KEN2786,2010-01-14,2010,Riots,Violent demonstration,Rioters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,4
KEN2787,2010-01-14,2010,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,2
KEN2788,2010-01-18,2010,Riots,Mob violence,Rioters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2778,2010-01-02,2010,Battles,Armed clash,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Narok,Narok South,Olololunga,-1.003,35.664,1
KEN2816,2010-04-13,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Isiolo,Isiolo,Isiolo,0.3546,37.5822,1
KEN2804,2010-02-15,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (International),Kenya,Meru,Imenti North,Meru,0.05,37.65,0
KEN2803,2010-02-15,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Uasin Gishu,Moiben,Eldoret,0.5167,35.2833,0
KEN2801,2010-02-14,2010,Battles,Armed clash,Military Forces of Kenya (2002-2013),Unidentified Armed Group (Sudan),Kenya,Turkana,Turkana West,Nadapal,4.4051,34.2837,2
KEN2793,2010-01-22,2010,Violence against civilians,Attack,Merrile Ethnic Militia (Kenya),Civilians (Kenya),Kenya,Turkana,Turkana North,Todenyang,4.5333,35.9333,4
KEN2792,2010-01-22,2010,Battles,Armed clash,Police Forces of Kenya (2002-2013),Merrile Ethnic Militia (Kenya),Kenya,Turkana,Turkana North,Todenyang,4.5333,35.9333,2
KEN2795,2010-01-25,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Nyamira,Nyamira,Nyamira,-0.5666,34.9167,1
KEN2797,2010-01-27,2010,Violence against civilians,Attack,Police Forces of Kenya (2002-2013),Civilians (International),Kenya,Bungoma,Kanduyi,Bungoma,0.5635,34.5606,1
KEN2809,2010-03-09,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,0
KEN2811,2010-03-10,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Turkana,Turkana Central,Lodwar,3.1191,35.5973,3
KEN2807,2010-02-26,2010,Battles,Armed clash,Merrile Ethnic Militia (Ethiopia),Police Forces of Kenya (2002-2013),Kenya,Turkana,Turkana North,Todenyang,4.5333,35.9333,1
KEN2800,2010-02-12,2010,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Kilifi,Kilifi South,Mtwapa,-3.9499,39.745,0
KEN2794,2010-01-24,2010,Violence against civilians,Attack,Unidentified Armed Group (Ethiopia),Civilians (Kenya),Kenya,Turkana,Turkana Central,Lake Turkana,3.5,36,3
KEN2802,2010-02-14,2010,Battles,Armed clash,Military Forces of Kenya (2002-2013),Military Forces of Sudan (1989-2019),Kenya,Turkana,Turkana West,Nadapal,4.4051,34.2837,2
KEN6897,2010-02-18,2010,Battles,Armed clash,Unidentified Armed Group (Kenya),Private Security Forces (Kenya),Kenya,Nyeri,Nyeri Central,Nyeri,-0.4167,36.95,0
KEN2808,2010-03-03,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (International),Kenya,Nakuru,Nakuru North,Nakuru,-0.2441,36.142,0
KEN2796,2010-01-25,2010,Battles,Armed clash,Trans Mara Communal Militia (Kenya),Trans Mara Communal Militia (Kenya),Kenya,Kericho,Bureti,Kapkatet,-0.6333,35.2,5
KEN7943,2010-02-12,2010,Riots,Mob violence,Rioters (Kenya),Civilians (Kenya),Kenya,Kilifi,Kilifi North,Kilifi,-3.633,39.85,0
KEN2790,2010-01-22,2010,Protests,Peaceful protest,Protesters (Somalia),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2791,2010-01-22,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2798,2010-02-01,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2805,2010-02-17,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2810,2010-03-10,2010,Battles,Armed clash,Mungiki Militia,Police Forces of Kenya (2002-2013),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,7
KEN2812,2010-03-11,2010,Riots,Violent demonstration,Rioters (Kenya),Rioters (Kenya),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN6896,2010-02-17,2010,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Kenya),Civilians (Canada),Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN2806,2010-02-19,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN2814,2010-03-23,2010,Protests,Protest with intervention,Protesters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN2815,2010-03-31,2010,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN2823,2010-05-06,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Kiambu,Lari,Lari,-1.0167,36.6333,2
KEN2821,2010-05-05,2010,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (International),Kenya,Taita Taveta,Wundanyi,Mzima Springs,-2.9833,38.0167,0
KEN2822,2010-05-05,2010,Battles,Armed clash,Unidentified Armed Group (Kenya),Police Forces of Kenya (2002-2013),Kenya,Mandera,Mandera West,Jirime Gubata,3.55,40.1833,2
KEN2820,2010-04-20,2010,Battles,Armed clash,Kachepkosir Ethnic Militia (Kenya),Katemke Ethnic Militia (Kenya),Kenya,Elgeyo Marakwet,Keiyo North,Iten,0.6702,35.5077,0
